Lead_ID,Age,Budget,Location,Property_Type,Inquiry_Type,Time_Spent_on_Site,Number_of_Visits,Contacted,Converted
118,35,9310982,Mumbai,3BHK,Rent,20,7,1,1
119,46,12573455,Delhi,3BHK,Buy,3,1,0,0
120,33,3178642,Pune,1BHK,Rent,25,4,1,0
121,52,7381862,Bangalore,1BHK,Rent,4,6,1,0
122,59,9604869,Mumbai,1BHK,Rent,25,6,0,1
123,52,9979633,Delhi,2BHK,Rent,25,1,0,0
124,24,13030140,Bangalore,3BHK,Buy,11,7,1,1
125,50,6111932,Mumbai,1BHK,Rent,12,5,0,1
126,57,12019577,Mumbai,3BHK,Rent,19,6,1,1
127,43,3734441,Bangalore,1BHK,Rent,19,1,0,0
128,59,3252876,Pune,3BHK,Buy,29,7,0,0
129,35,14873611,Pune,1BHK,Buy,11,4,1,1
130,49,13081982,Bangalore,1BHK,Buy,13,3,1,0
131,56,9937108,Delhi,1BHK,Buy,24,4,0,1
132,33,4960841,Pune,1BHK,Buy,1,9,1,0
133,52,9745073,Mumbai,3BHK,Rent,6,5,1,0
134,27,4592859,Mumbai,1BHK,Buy,22,5,1,0
135,42,9992388,Delhi,1BHK,Buy,25,8,1,1
136,48,7767204,Mumbai,1BHK,Rent,16,7,1,1
137,22,9696124,Pune,3BHK,Buy,2,3,1,0
138,26,3918715,Delhi,1BHK,Buy,14,1,0,0
139,48,8854795,Pune,3BHK,Rent,24,2,1,0
140,48,10880121,Delhi,2BHK,Buy,23,3,1,0
141,40,4177890,Bangalore,3BHK,Buy,18,1,1,0
142,50,14918652,Mumbai,2BHK,Rent,17,1,1,0
143,31,14713525,Delhi,1BHK,Buy,20,8,0,1
144,48,6267905,Bangalore,1BHK,Buy,18,8,0,1
145,45,5175601,Pune,3BHK,Rent,19,2,1,0
146,59,3740584,Bangalore,1BHK,Buy,15,8,1,0
147,53,5217196,Pune,1BHK,Buy,2,2,0,0
148,21,14254825,Delhi,3BHK,Buy,25,5,1,1
149,47,7251208,Delhi,1BHK,Buy,4,1,1,0
150,33,10526013,Mumbai,2BHK,Buy,1,9,0,0
151,23,9067263,Mumbai,2BHK,Rent,8,4,1,0
152,59,10509781,Delhi,1BHK,Buy,20,2,1,0
153,26,2046638,Pune,1BHK,Rent,14,1,0,0
154,28,7444555,Pune,2BHK,Buy,26,6,1,1
155,47,3162496,Delhi,1BHK,Buy,11,8,1,0
156,29,10236843,Pune,2BHK,Rent,27,4,0,1
157,57,12896021,Delhi,3BHK,Rent,24,1,0,0
158,53,14230437,Mumbai,2BHK,Rent,24,1,0,0
159,44,6151538,Pune,1BHK,Buy,25,6,1,1
160,35,9776018,Mumbai,1BHK,Buy,14,2,0,0
161,52,4105039,Bangalore,2BHK,Rent,28,5,1,0
162,52,4064798,Mumbai,2BHK,Buy,16,2,1,0
163,44,4850418,Bangalore,1BHK,Buy,10,9,0,0
164,32,5119810,Mumbai,1BHK,Buy,7,2,1,0
165,59,2821929,Mumbai,1BHK,Buy,16,5,1,0
166,22,8647162,Pune,3BHK,Buy,4,4,0,0
167,23,6910673,Mumbai,3BHK,Rent,12,1,0,0
168,57,9846540,Delhi,2BHK,Buy,12,9,1,1
169,37,5772217,Pune,2BHK,Rent,2,3,1,0
170,22,4027842,Pune,3BHK,Buy,6,8,1,0
171,22,7212281,Pune,3BHK,Buy,20,4,1,1
172,48,2734459,Mumbai,2BHK,Buy,15,9,0,0
173,43,9718742,Pune,3BHK,Buy,15,5,1,1
174,57,12776450,Bangalore,2BHK,Rent,22,2,1,0
175,52,4306648,Bangalore,1BHK,Buy,16,8,1,0
176,53,4789850,Mumbai,2BHK,Buy,24,4,0,0
177,21,11864683,Pune,3BHK,Rent,3,2,0,0
178,39,4703934,Delhi,3BHK,Buy,1,6,0,0
179,22,14005722,Delhi,3BHK,Buy,21,1,1,0
180,46,10697318,Bangalore,2BHK,Buy,12,8,1,1
181,52,6541912,Mumbai,3BHK,Rent,15,9,1,1
182,26,5903869,Mumbai,2BHK,Buy,19,7,1,1
183,52,7371159,Mumbai,1BHK,Rent,6,9,1,0
184,24,14664903,Mumbai,1BHK,Rent,19,2,1,0
185,31,4451976,Mumbai,3BHK,Buy,17,1,1,0
186,37,5197860,Pune,2BHK,Buy,9,7,1,0
187,58,12740829,Pune,2BHK,Buy,21,4,0,1
188,44,6680018,Pune,3BHK,Buy,13,8,0,1
189,25,4780596,Delhi,2BHK,Rent,15,3,0,0
190,54,6040015,Pune,3BHK,Buy,16,7,1,1
191,26,6870807,Mumbai,3BHK,Buy,13,7,0,1
192,42,5237355,Mumbai,1BHK,Buy,2,9,0,0
193,31,2122772,Delhi,3BHK,Rent,2,4,0,0
194,36,6077411,Delhi,2BHK,Buy,11,1,1,0
195,53,7472295,Bangalore,3BHK,Buy,25,7,1,1
196,29,8957038,Delhi,1BHK,Buy,28,6,1,1
197,26,11366077,Bangalore,1BHK,Buy,16,1,0,0
198,36,7756157,Pune,2BHK,Buy,17,9,0,1
199,49,11696197,Mumbai,3BHK,Buy,26,8,0,1
200,23,14384836,Bangalore,2BHK,Buy,3,4,0,0
201,40,11854349,Bangalore,2BHK,Rent,28,5,1,1
202,56,9356148,Bangalore,3BHK,Rent,29,8,1,1
203,39,11095020,Delhi,1BHK,Buy,29,2,0,0
204,46,4801329,Delhi,2BHK,Buy,26,6,1,0
205,23,8525438,Delhi,2BHK,Buy,27,2,1,0
206,39,10680407,Bangalore,1BHK,Rent,23,8,0,1
207,40,10577482,Pune,3BHK,Buy,1,5,0,0
208,52,9223153,Mumbai,3BHK,Buy,18,3,1,0
209,27,12697044,Delhi,3BHK,Rent,14,2,1,0
210,53,8727897,Pune,1BHK,Rent,22,4,0,1
211,59,7433962,Delhi,2BHK,Buy,9,8,1,0
212,38,2473818,Delhi,1BHK,Buy,28,1,0,0
213,21,14517622,Bangalore,2BHK,Rent,9,3,1,0
214,31,5035865,Bangalore,2BHK,Rent,12,1,0,0
215,48,5883424,Delhi,3BHK,Rent,24,2,1,0
216,45,14825630,Mumbai,3BHK,Rent,3,7,1,0
217,43,11105775,Delhi,3BHK,Buy,2,1,0,0
218,51,13033134,Mumbai,1BHK,Buy,1,9,0,0
219,50,5231365,Pune,3BHK,Rent,27,8,1,1
220,55,8766699,Delhi,1BHK,Buy,27,1,1,0
221,27,5828295,Mumbai,3BHK,Buy,9,1,1,0
222,36,14952390,Pune,3BHK,Rent,13,2,0,0
223,46,3724833,Pune,3BHK,Rent,21,2,0,0
224,22,10975979,Bangalore,1BHK,Rent,28,6,0,1
225,21,13629364,Pune,2BHK,Buy,16,1,0,0
226,32,10193421,Bangalore,1BHK,Buy,19,4,1,1
227,25,7864719,Pune,1BHK,Buy,10,7,0,0
228,57,12302122,Pune,1BHK,Rent,26,9,0,1
229,52,11051251,Mumbai,2BHK,Buy,27,3,1,0
230,29,5764040,Mumbai,1BHK,Rent,5,4,1,0
231,55,8110793,Bangalore,3BHK,Buy,14,5,1,1
232,39,8553855,Delhi,2BHK,Rent,27,5,0,1
233,36,5660880,Mumbai,1BHK,Buy,15,2,1,0
234,23,10596235,Pune,1BHK,Buy,28,5,0,1
235,40,7782655,Bangalore,2BHK,Rent,3,1,1,0
236,44,5646277,Bangalore,1BHK,Rent,9,7,0,0
237,53,3592210,Bangalore,2BHK,Buy,29,5,1,0
238,44,4918634,Pune,3BHK,Buy,1,6,0,0
239,31,8562344,Mumbai,1BHK,Rent,1,9,0,0
240,28,9401628,Delhi,1BHK,Buy,19,3,1,0
241,56,5884485,Bangalore,3BHK,Buy,6,1,0,0
242,58,3991226,Pune,1BHK,Rent,11,8,0,0
243,40,11818968,Mumbai,1BHK,Rent,18,2,0,0
244,55,2829119,Mumbai,2BHK,Buy,14,2,1,0
245,45,12286479,Delhi,1BHK,Rent,16,4,1,1
246,55,14573619,Bangalore,3BHK,Buy,1,5,1,0
247,45,12879567,Pune,1BHK,Buy,24,1,1,0
248,49,3054853,Mumbai,2BHK,Rent,27,3,0,0
249,38,7042596,Pune,3BHK,Buy,10,8,1,0
250,38,8424788,Mumbai,3BHK,Buy,25,6,0,1
251,22,5386243,Bangalore,3BHK,Buy,10,3,1,0
252,55,10124897,Bangalore,3BHK,Buy,13,7,0,1
253,36,12158427,Delhi,2BHK,Buy,28,6,1,1
254,56,10675493,Mumbai,2BHK,Rent,1,5,0,0
255,53,14964776,Pune,2BHK,Rent,3,8,1,0
256,24,5445083,Mumbai,2BHK,Buy,14,8,1,1
257,53,6977037,Pune,1BHK,Buy,21,3,0,0
258,34,3535410,Delhi,2BHK,Rent,16,8,1,0
259,41,2349760,Mumbai,1BHK,Buy,23,9,0,0
260,40,9490526,Bangalore,3BHK,Rent,26,3,0,0
261,28,12128157,Pune,1BHK,Rent,20,8,1,1
262,27,11625272,Bangalore,1BHK,Rent,6,8,1,0
263,23,7827278,Delhi,1BHK,Buy,1,7,0,0
264,37,14802513,Delhi,2BHK,Buy,20,8,1,1
265,53,13219042,Pune,2BHK,Buy,24,1,0,0
266,32,2296177,Mumbai,3BHK,Buy,5,3,1,0
267,42,8074525,Bangalore,2BHK,Rent,8,6,1,0
268,42,5406433,Bangalore,1BHK,Buy,12,7,0,1
269,50,13989545,Pune,2BHK,Buy,1,7,0,0
270,58,2012938,Pune,2BHK,Buy,13,6,1,0
271,58,3179418,Pune,1BHK,Rent,26,4,1,0
272,28,2994199,Delhi,3BHK,Buy,9,5,1,0
273,47,7507298,Delhi,2BHK,Rent,20,9,1,1
274,47,3919398,Bangalore,3BHK,Buy,25,1,0,0
275,54,8716487,Mumbai,1BHK,Buy,24,2,0,0
276,41,5614962,Pune,2BHK,Buy,8,5,1,0
277,50,13633708,Delhi,3BHK,Buy,13,5,0,1
278,53,7133783,Mumbai,3BHK,Buy,28,7,1,1
279,48,13811186,Pune,1BHK,Rent,2,8,1,0
280,53,3185622,Mumbai,2BHK,Buy,15,6,1,0
281,25,6192907,Pune,3BHK,Rent,14,6,0,1
282,39,8630064,Mumbai,3BHK,Buy,19,5,0,1
283,24,2545501,Bangalore,3BHK,Buy,26,5,0,0
284,55,14274709,Pune,3BHK,Rent,9,8,0,0
285,37,14331179,Pune,3BHK,Buy,19,5,1,1
286,48,7199039,Bangalore,3BHK,Rent,14,6,1,1
287,50,12400844,Pune,3BHK,Rent,8,3,0,0
288,49,7567768,Pune,3BHK,Buy,5,5,1,0
289,26,8964587,Delhi,3BHK,Buy,7,9,0,0
290,55,3511602,Bangalore,3BHK,Buy,4,3,0,0
291,57,4346118,Delhi,2BHK,Buy,8,8,0,0
292,44,6639596,Bangalore,1BHK,Buy,4,7,0,0
293,49,5465495,Mumbai,1BHK,Rent,21,4,1,1
294,51,11466898,Bangalore,1BHK,Rent,1,5,1,0
295,55,2689746,Bangalore,3BHK,Buy,26,8,1,0
296,53,5517155,Delhi,1BHK,Buy,8,7,0,0
297,41,14900104,Pune,3BHK,Rent,7,2,0,0
298,52,10744047,Bangalore,2BHK,Rent,11,8,1,1
299,43,6206330,Pune,1BHK,Rent,21,8,1,1
300,53,12069671,Bangalore,2BHK,Buy,16,9,0,1
301,23,4980858,Delhi,2BHK,Buy,22,2,1,0
302,38,10677596,Bangalore,3BHK,Rent,17,4,0,1
303,45,14475287,Mumbai,1BHK,Rent,24,2,0,0
304,51,12838319,Bangalore,2BHK,Buy,25,4,1,1
305,23,14637620,Bangalore,1BHK,Rent,27,3,1,0
306,44,4554293,Pune,2BHK,Buy,5,7,0,0
307,52,9935145,Pune,2BHK,Rent,26,5,1,1
308,42,12013046,Mumbai,3BHK,Buy,7,7,0,0
309,43,7590572,Bangalore,1BHK,Rent,10,2,1,0
310,22,12897788,Pune,3BHK,Rent,13,4,0,1
311,47,5856397,Bangalore,3BHK,Rent,20,6,0,1
312,22,7831398,Delhi,3BHK,Rent,15,5,0,1
313,46,4007708,Delhi,3BHK,Buy,6,2,1,0
314,37,11691635,Mumbai,3BHK,Rent,2,7,1,0
315,53,10828452,Delhi,2BHK,Buy,4,2,1,0
316,29,2287249,Pune,1BHK,Rent,21,9,1,0
317,59,10206294,Pune,1BHK,Rent,14,7,1,1
318,49,8805995,Mumbai,3BHK,Buy,25,3,1,0
319,46,6525605,Bangalore,1BHK,Rent,29,6,0,1
320,55,3397955,Pune,2BHK,Rent,25,5,0,0
321,45,2770802,Delhi,3BHK,Buy,24,9,1,0
322,44,6458795,Pune,2BHK,Rent,29,3,1,0
323,33,13236142,Mumbai,2BHK,Rent,15,2,0,0
324,27,14368418,Delhi,3BHK,Rent,28,2,1,0
325,56,14731094,Delhi,2BHK,Buy,14,4,1,1
326,40,5019579,Delhi,3BHK,Rent,4,1,1,0
327,21,11095769,Mumbai,2BHK,Buy,6,9,0,0
328,28,6650291,Mumbai,1BHK,Buy,7,3,1,0
329,36,6319230,Bangalore,1BHK,Buy,13,5,0,1
330,34,10469755,Bangalore,1BHK,Buy,17,2,1,0
331,32,9650311,Bangalore,3BHK,Rent,29,8,0,1
332,43,3592063,Mumbai,2BHK,Rent,17,3,1,0
333,35,10266602,Delhi,2BHK,Buy,4,5,1,0
334,48,14422351,Delhi,1BHK,Rent,19,7,0,1
335,54,8121602,Pune,1BHK,Rent,26,2,0,0
336,22,8512324,Bangalore,3BHK,Rent,20,3,0,0
337,52,4217939,Delhi,3BHK,Rent,13,8,1,0
338,43,8405883,Delhi,2BHK,Rent,29,8,1,1
339,42,8439519,Delhi,3BHK,Rent,9,3,0,0
340,45,8969369,Delhi,3BHK,Buy,2,7,0,0
341,42,6806085,Mumbai,3BHK,Rent,20,2,1,0
342,42,8161018,Bangalore,1BHK,Buy,23,9,0,1
343,26,10877241,Delhi,1BHK,Rent,18,8,0,1
344,35,4896355,Delhi,2BHK,Buy,24,9,1,0
345,57,13659943,Delhi,3BHK,Rent,26,9,0,1
346,53,13421562,Delhi,1BHK,Buy,20,7,1,1
347,28,8371332,Pune,3BHK,Buy,25,4,0,1
348,25,8783564,Delhi,2BHK,Rent,17,5,0,1
349,59,2167071,Delhi,3BHK,Rent,7,7,0,0
350,24,3775823,Delhi,2BHK,Buy,17,5,0,0
351,26,8088960,Pune,2BHK,Rent,27,8,1,1
352,52,9800757,Mumbai,1BHK,Rent,10,5,0,0
353,50,9583754,Pune,3BHK,Rent,27,5,0,1
354,55,8629383,Delhi,1BHK,Rent,25,5,0,1
355,36,4665880,Mumbai,3BHK,Buy,14,4,0,0
356,33,6761631,Delhi,3BHK,Rent,28,7,0,1
357,50,4414551,Mumbai,2BHK,Rent,26,2,1,0
358,39,10460827,Delhi,2BHK,Rent,12,4,1,1
359,37,4807501,Delhi,3BHK,Rent,29,3,1,0
360,39,3846252,Mumbai,1BHK,Buy,26,8,0,0
361,48,5764610,Mumbai,2BHK,Rent,12,7,1,1
362,46,9660771,Delhi,2BHK,Rent,17,3,0,0
363,57,13180671,Pune,3BHK,Rent,19,4,1,1
364,46,6912894,Pune,3BHK,Buy,28,4,1,1
365,43,2366042,Pune,2BHK,Rent,23,7,0,0
366,29,7533395,Pune,1BHK,Buy,14,8,1,1
367,32,8451406,Mumbai,2BHK,Rent,29,4,0,1
368,21,4264381,Mumbai,3BHK,Rent,17,8,1,0
369,21,7248794,Pune,2BHK,Buy,15,1,0,0
370,54,11726508,Bangalore,3BHK,Buy,21,9,0,1
371,52,9212648,Bangalore,2BHK,Rent,6,7,0,0
372,45,11253656,Bangalore,3BHK,Rent,19,4,0,1
373,21,11664745,Delhi,3BHK,Rent,29,8,0,1
374,36,9527467,Pune,1BHK,Rent,22,2,0,0
375,59,8910957,Delhi,3BHK,Rent,20,8,1,1
376,25,13047853,Mumbai,2BHK,Buy,6,6,0,0
377,42,4503821,Mumbai,3BHK,Rent,6,7,1,0
378,49,6872367,Bangalore,2BHK,Buy,4,7,1,0
379,23,3238669,Bangalore,1BHK,Buy,1,2,0,0
380,32,4191951,Mumbai,2BHK,Rent,19,2,0,0
381,46,6816977,Bangalore,1BHK,Rent,11,4,1,1
382,36,9051398,Bangalore,1BHK,Buy,26,6,1,1
383,57,10339150,Mumbai,3BHK,Buy,7,4,0,0
384,42,9428951,Delhi,1BHK,Rent,2,6,0,0
385,49,2924914,Bangalore,2BHK,Buy,4,5,1,0
386,34,2605750,Delhi,1BHK,Buy,6,6,1,0
387,48,2179340,Bangalore,1BHK,Buy,5,9,1,0
388,25,9371191,Pune,3BHK,Rent,22,6,0,1
389,50,6236343,Delhi,2BHK,Rent,21,6,0,1
390,25,4854414,Delhi,1BHK,Buy,9,8,1,0
391,32,11484984,Bangalore,3BHK,Buy,11,5,1,1
392,36,12788665,Delhi,3BHK,Rent,28,5,0,1
393,46,4796175,Pune,2BHK,Rent,29,1,1,0
394,46,9945223,Mumbai,3BHK,Buy,18,6,0,1
395,41,5055068,Pune,1BHK,Rent,20,1,0,0
396,59,7361878,Mumbai,3BHK,Rent,17,8,0,1
397,56,10629932,Pune,2BHK,Rent,28,9,1,1
398,53,6622887,Pune,2BHK,Rent,13,6,0,1
399,50,5659248,Delhi,3BHK,Rent,23,9,0,1
400,57,8166197,Pune,1BHK,Buy,17,2,0,0
401,43,13856374,Bangalore,3BHK,Buy,22,9,1,1
402,30,10621837,Bangalore,2BHK,Rent,26,4,1,1
403,25,2837876,Bangalore,3BHK,Rent,10,3,0,0
404,56,13437533,Bangalore,3BHK,Rent,29,1,0,0
405,54,3088894,Delhi,1BHK,Rent,25,1,1,0
406,51,4789530,Bangalore,3BHK,Buy,18,8,0,0
407,30,10512686,Pune,1BHK,Buy,17,2,1,0
408,39,10428367,Bangalore,3BHK,Rent,12,1,1,0
409,52,9835958,Delhi,3BHK,Rent,15,2,1,0
410,21,7923808,Mumbai,1BHK,Rent,27,3,1,0
411,25,14962091,Pune,1BHK,Rent,27,4,0,1
412,24,4950161,Pune,2BHK,Rent,27,9,1,0
413,36,6561679,Delhi,1BHK,Buy,26,7,0,1
414,44,11420811,Mumbai,3BHK,Buy,29,5,0,1
415,36,8976915,Bangalore,2BHK,Rent,19,5,1,1
416,22,8725311,Mumbai,1BHK,Rent,22,6,1,1
417,48,11279719,Pune,1BHK,Buy,15,1,1,0
418,52,12771386,Pune,2BHK,Buy,13,6,1,1
419,47,9671388,Pune,3BHK,Buy,7,6,1,0
420,40,7691357,Mumbai,3BHK,Rent,11,5,0,1
421,44,9107936,Bangalore,2BHK,Buy,8,9,1,0
422,32,5017721,Pune,3BHK,Rent,20,5,1,1
423,55,7638132,Delhi,1BHK,Rent,16,9,0,1
424,53,7653020,Bangalore,3BHK,Buy,24,7,1,1
425,53,14974549,Pune,1BHK,Rent,23,3,0,0
426,57,9400236,Bangalore,3BHK,Buy,11,9,1,1
427,32,9897164,Delhi,1BHK,Rent,24,7,0,1
428,23,6443131,Mumbai,2BHK,Buy,5,4,0,0
429,21,10633864,Pune,1BHK,Buy,26,9,1,1
430,53,8635543,Delhi,3BHK,Buy,7,6,1,0
431,30,12507278,Pune,1BHK,Buy,16,9,0,1
432,49,2410275,Pune,3BHK,Rent,16,4,1,0
433,33,9887372,Mumbai,3BHK,Buy,20,2,0,0
434,32,3829210,Mumbai,1BHK,Buy,29,9,0,0
435,51,2594091,Bangalore,3BHK,Buy,17,4,0,0
436,22,2071524,Delhi,2BHK,Buy,19,2,0,0
437,55,9040326,Delhi,3BHK,Rent,28,7,0,1
438,43,11956039,Mumbai,2BHK,Buy,26,7,1,1
439,37,11264612,Pune,2BHK,Rent,15,5,0,1
440,46,12363368,Bangalore,3BHK,Rent,25,5,1,1
441,28,6785613,Mumbai,2BHK,Rent,15,8,1,1
442,49,4832761,Bangalore,2BHK,Buy,27,6,0,0
443,46,8573643,Bangalore,1BHK,Rent,20,1,1,0
444,30,4092195,Delhi,2BHK,Buy,21,4,0,0
445,46,9342451,Bangalore,2BHK,Buy,15,1,1,0
446,54,12149436,Delhi,2BHK,Buy,3,5,1,0
447,27,11559015,Pune,2BHK,Rent,12,5,0,1
448,24,2768976,Pune,2BHK,Buy,27,4,0,0
449,31,6631004,Mumbai,3BHK,Rent,6,9,1,0
450,49,3243517,Pune,2BHK,Rent,20,8,1,0
451,56,11613466,Delhi,3BHK,Rent,5,3,1,0
452,45,12281216,Bangalore,3BHK,Rent,11,5,0,1
453,41,8145779,Bangalore,3BHK,Buy,23,6,0,1
454,56,6534945,Pune,1BHK,Buy,12,5,1,1
455,30,11021507,Delhi,1BHK,Buy,7,8,0,0
456,57,5283287,Bangalore,3BHK,Buy,9,5,0,0
457,29,5992852,Pune,1BHK,Buy,18,8,1,1
458,44,13072160,Delhi,2BHK,Rent,14,3,0,0
